Date,Anomaly
185001,-0.46
185002,-0.21
185003,-0.22
185004,-0.35
185005,-0.29
185006,-0.08
185007,-0.04
185008,0.00
185009,-0.10
185010,-0.34
185011,-0.19
185012,-0.04
185101,-0.17
185102,-0.07
185103,-0.24
185104,-0.35
185105,-0.28
185106,-0.14
185107,0.07
185108,0.10
185109,0.05
185110,0.13
185111,-0.09
185112,-0.06
185201,-0.02
185202,-0.24
185203,-0.41
185204,-0.33
185205,-0.11
185206,0.11
185207,0.07
185208,0.13
185209,0.07
185210,0.06
185211,0.03
185212,0.01
185301,-0.12
185302,-0.25
185303,-0.22
185304,-0.28
185305,-0.10
185306,0.00
185307,0.12
185308,0.02
185309,-0.06
185310,-0.12
185311,-0.16
185312,-0.10
185401,-0.28
185402,-0.19
185403,-0.02
185404,-0.13
185405,-0.10
185406,-0.07
185407,-0.01
185408,-0.06
185409,-0.05
185410,0.05
185411,0.01
185412,0.04
185501,-0.08
185502,-0.08
185503,-0.05
185504,-0.08
185505,-0.09
185506,-0.07
185507,-0.13
185508,-0.10
185509,-0.09
185510,0.00
185511,-0.09
185512,-0.11
185601,0.18
185602,-0.02
185603,-0.12
185604,-0.21
185605,-0.22
185606,-0.03
185607,-0.14
185608,-0.26
185609,-0.22
185610,-0.41
185611,-0.21
185612,-0.12
185701,-0.15
185702,-0.34
185703,-0.18
185704,-0.29
185705,-0.35
185706,-0.19
185707,-0.17
185708,-0.17
185709,-0.19
185710,-0.20
185711,-0.16
185712,0.02
185801,-0.13
185802,-0.23
185803,-0.12
185804,-0.18
185805,-0.38
185806,-0.18
185807,-0.15
185808,-0.15
185809,-0.22
185810,-0.14
185811,-0.16
185812,-0.21
185901,-0.15
185902,-0.06
185903,-0.01
185904,-0.04
185905,0.03
185906,-0.04
185907,-0.14
185908,-0.02
185909,-0.15
185910,-0.14
185911,-0.07
185912,0.13
186001,-0.14
186002,-0.19
186003,-0.22
186004,-0.21
186005,-0.27
186006,-0.15
186007,-0.22
186008,-0.17
186009,-0.25
186010,-0.28
186011,-0.29
186012,-0.47
186101,-0.63
186102,-0.52
186103,-0.28
186104,-0.33
186105,-0.39
186106,-0.25
186107,-0.16
186108,-0.14
186109,-0.14
186110,-0.29
186111,-0.10
186112,-0.25
186201,-0.44
186202,-0.49
186203,-0.37
186204,-0.43
186205,-0.42
186206,-0.23
186207,-0.29
186208,-0.29
186209,-0.28
186210,-0.37
186211,-0.22
186212,-0.46
186301,-0.14
186302,-0.26
186303,-0.14
186304,-0.16
186305,-0.25
186306,-0.19
186307,-0.24
186308,-0.21
186309,-0.31
186310,-0.29
186311,-0.19
186312,-0.21
186401,-0.34
186402,-0.26
186403,-0.21
186404,-0.21
186405,-0.11
186406,-0.04
186407,-0.10
186408,-0.22
186409,-0.27
186410,-0.29
186411,-0.17
186412,-0.28
186501,0.14
186502,-0.23
186503,-0.23
186504,-0.27
186505,-0.25
186506,-0.05
186507,0.00
186508,0.02
186509,-0.02
186510,-0.07
186511,-0.07
186512,-0.07
186601,0.01
186602,0.01
186603,-0.15
186604,-0.19
186605,-0.18
186606,-0.13
186607,-0.01
186608,-0.19
186609,-0.13
186610,-0.19
186611,-0.14
186612,-0.01
186701,-0.17
186702,-0.31
186703,-0.27
186704,-0.41
186705,-0.36
186706,-0.14
186707,-0.19
186708,-0.05
186709,-0.02
186710,-0.11
186711,-0.08
186712,-0.20
186801,-0.38
186802,-0.25
186803,-0.09
186804,-0.21
186805,-0.12
186806,-0.04
186807,-0.09
186808,-0.02
186809,-0.09
186810,-0.05
186811,-0.30
186812,-0.06
186901,0.03
186902,0.11
186903,-0.04
186904,-0.17
186905,-0.05
186906,-0.05
186907,-0.09
186908,-0.16
186909,-0.16
186910,-0.19
186911,0.04
186912,-0.06
